name;label;question;new_name;comment;new_dtype
Directorio;Directorio;Directorio;directorio;What does that mean? Is there a better translation?;float
Secuencia_p;Secuencia_p;Secuencia_p;secuencia_p;;float
Orden;Orden;Orden;orden;;float
Hogar;Hogar;Hogar;household;;float
Regis;Registro de la encuesta;Registro de la encuesta;regis;;float
Area;Area;Area;area;Needs manual recoding that differs between cabecera and area;category
;;05 Medellín;;;
;;08 Barranquilla;;;
;;11 Bogotá, d.C;;;
;;13 Cartagena;;;
;;17 Manizales;;;
;;23 Montería;;;
;;50 Villavicencio;;;
;;52 Pasto;;;
;;54 Cúcuta;;;
;;66 Pereira;;;
;;68 Bucaramanga;;;
;;73 Ibagué;;;
;;76 Cali;;;
P6440;¿para realizar este trabajo, tiene usted algún tipo de contrato?;4. ¿Para realizar este trabajo tiene ... algún tipo de contrato? (verbal o escrito);has_contract;;category
;;1 Sí;;;
;;2 No;;;
P6450;¿el contrato es verbal o escrito?;5. ¿El contrato es verbal o escrito?;type_of_contract;;category
;;a. Verbal;;;
;;b. Escrito;;;
;;c. No sabe, no informa;;;
P6460;¿el contrato de trabajo de ... Es a término indefinido o a término fijo?;6. ¿El contrato de trabajo es a término indefinido o a término fijo?;duration_of_contract;;category
;;a. A término Indefinido;;;
;;b. A término fijo;;;
;;c. No sabe, no informa;;;
;;"Si no sabe el número de meses del contrato, escriba 99; si la duración del contrato es inferior a 15 días, escriba 00; de 15 días un mes, escriba 01; si la duración del contrato es de 98 meses o más escriba 98.";;;
P6460s1;Número de meses;6. ¿El contrato de trabajo es a término indefinido o a término fijo? - b. A término fijo;duration_of_contract_months;;float
;;Nro Meses ______________;;;
P6400;La empresa o persona que contrato a ..., ¿es la misma empresa donde trabaja o presta sus servicios?;7. La empresa o persona que contrató a ...., ¿es la misma empresa donde trabaja o presta sus servicios?;works_where_employed;;category
;;1 Si;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6422;¿esta ..... Conforme con el tipo de contrato que tiene?;9. ¿Esta ..... Conforme con el tipo de contrato que tiene?;satisfied_w_contract;;category
;;(De planta, por prestación de servicios, por labor terminada, etc);;;
;;1 Sí;;;
;;2 No;;;
P6424s2;Prima de navidad?;10. ¿Por su contrato actual, recibe o tiene derecho a:;contractual_right_to_christmas_bonus;;category
;;b. Prima de navidad?;;;
;;1 Sí;;;
;;2 No;;;
P6424s3;Derecho de cesantia?;10. ¿Por su contrato actual, recibe o tiene derecho a:;contractual_right_to_unemployment_money;;category
;;c. Derecho a cesantía?;;;
;;1 Sí;;;
;;2 No;;;
P6424s1;Vacaciones con sueldo?;10. ¿Por su contrato actual, recibe o tiene derecho a:;contractual_right_to_paid_leave;;category
;;a. Vacaciones con sueldo?;;;
;;1 Sí;;;
;;2 No;;;
P6426;¿cuanto tiempo lleva ... Trabajando en esta empresa, negocio, industria, oficina, firma o finca de manera continua?;11. ¿Cuanto tiempo lleva ... trabajando en esta empresa, negocio, industria, oficina, firma o finca de manera continua?;months_working_at_current_employment;;float
;;si es menos de un mes escriba 000;;;
;;Meses ________;;;
P6430s1;Otra cuál???;12. En este trabajo…..es: - i. Otro,;work_position_other;;str
;;¿cual? ________________;;;
P6480;¿por qué medio principal, ... Consiguió su empleo actual?;13. ¿Por qué medio principal, .... consiguió su empleo actual?;main_way_to_find_current_job;;category
;;a. Pidió ayuda a familiares, amigos, colegas;;;
;;b. Visitó, llevó o envió hojas de vida a empresas o empleadores;;;
;;c. Visitó, llevó o envió hojas de vida a bolsas de empleo o intermediarios;;;
;;d. Puso o consultó avisos clasificados;;;
;;e. Por convocatorias;;;
;;f. Por el sistema de información SENA;;;
;;g. Otro medio;;;
;;h. No sabe, no informa;;;
P6480s1;¿cuál?;13. ¿Por qué medio principal, .... consiguió su empleo actual? - g. Otro medio;main_way_to_find_current_job_other;;str
;;¿cuál? ___________;;;
P6500;Antes de descuentos ¿cuánto ganó ... El mes pasado en este empleo?;14. Antes de descuentos ¿cuánto ganó .... el mes pasado en este empleo?;gross_wage_last_month;;float
;;Valor mensual $_______________________;;;
;;(incluya propinas y comisiones y excluya viáticos y pagos en especie);;;
P6510;El mes pasado recibió ingresos por concepto de horas extras?;15. El mes pasado recibió ingresos por concepto de horas extras?;paid_extra_hours_last_month;;category
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6510s1;¿cuánto recibió?;15. El mes pasado recibió ingresos por concepto de horas extras? 1. Sí;paid_extra_hours_last_month_amount;;float
;;a. ¿cuánto recibió? $ ___________________;;;
P6510s2;¿incluyó este valor en los ingresos del mes pasado $__ que me declaró anteriormente?;15. El mes pasado recibió ingresos por concepto de horas extras?;paid_extra_hours_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($____ ) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6590;Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo?;16. Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo?;food_as_part_of_wage_last_month;;category
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6590s1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);16. Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo? 1. Sí;food_as_part_of_wage_last_month_est_amount;;float
;;a. ¿En cuánto estima lo que recibió?;;;
;;$_______________;;;
P6600;Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo?;17. Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo?;dwelling_as_part_of_wage_last_month;;category
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6600s1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);17. Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo? 1. Sí;dwelling_as_part_of_wage_last_month_est_amount;;float
;;a. ¿En cuánto estima lo que recibió?;;;
;;$_______________;;;
P6610;¿normalmente ... Utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)?;18. ¿Normalmente... utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)?;employers_transport_to_go_to_work;;category
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6610s1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);18. ¿Normalmente... utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)? 1. Sí;employers_transport_to_go_to_work_est_amount;;float
;;a. ¿En cuánto estima lo que recibió?;;;
;;$_______________;;;
P6620;Además del salario en dinero, ¿el mes pasado... Recibió otros ingresos en especie por su trabajo (electrodomésticos, ropa, productos diferentes a alimentos o bonos tipo sodexho)?;19. Además del salario en dinero, ¿el mes pasado... recibió otros ingresos en especie por su trabajo(electrodomésticos, ropa, productos diferentes a alimentos o bonos tipo Sodexho)?;goods_or_benefits_as_wage_last_month;;category
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6620s1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);19. Además del salario en dinero, ¿el mes pasado... recibió otros ingresos en especie por su trabajo(electrodomésticos, ropa, productos diferentes a alimentos o bonos tipo Sodexho)? 1. Sí;goods_or_benefits_as_wage_last_month_est_amount;;float
;;a. ¿En cuánto estima lo que recibió?;;;
;;$_______________;;;
P6585s2a1;¿cuánto? (si recibió pero no sabe el monto, escriba 98)¿cuánto? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: b. Auxilio o subsidio de transporte?;subsidy_for_transport_amount;;float
;;a. ¿cuánto? $____________;;;
P6585s3a1;¿cuánto? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: c. Subsidio Familiar?;subsidy_for_children_amount;;float
;;a. ¿cuánto? $____________;;;
P6585s4a1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: d. Subsidio Educativo?;subsidy_for_education_amount;;float
;;a. ¿cuánto? $____________;;;
P6585s3a2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: c. Subsidio Familiar?;subsidy_for_children_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6585s2a2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: b. Auxilio o subsidio de transporte?;subsidy_for_transport_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6585s1a2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: a. Auxilio o subsidio de alimentación?;subsidy_for_food_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6585s2;Auxilio o subsidio de transporte?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:;subsidy_for_transport;;category
;;b. Auxilio o subsidio de transporte?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6585s3;Subsidio familiar?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:;subsidy_for_children;;category
;;c. Subsidio Familiar?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6585s1a1;¿cuánto? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: a. Auxilio o subsidio de alimentación?;subsidy_for_food_amount;;float
;;a. ¿cuánto? $____________;;;
P6585s4;Subsidio educativo?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:;subsidy_for_education;;category
;;d. Subsidio Educativo?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6585s1;Auxilio o subsidio de alimentación?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:;subsidy_for_food;;category
;;a. Auxilio o subsidio de alimentación?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6580;El mes pasado recibió ... Bonificaciones mensuales?;21. El mes pasado recibió ...:;monthly_bonus_last_month;;category
;;b. Algún tipo de bonificación de carácter mensual?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6580s1;¿cuánto recibió el mes pasado?;21. El mes pasado recibió ...: b. Algún tipo de bonificación de carácter mensual?;monthly_bonus_last_month_amount;;float
;;a. ¿cuánto? $____________;;;
P6580s2;¿incluyó este valor en los ingresos del mes pasado que me declaró anteriormente ?;21. El mes pasado recibió ...: b. Algún tipo de bonificación de carácter mensual?;monthly_bonus_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6630s3;Prima de vacaciones?;22. En los últimos 12 meses recibió:;leave_bonus_last_12_months;;category
;;c. Prima de vacaciones?;;;
;;1 Sí;;;
;;2 No;;;
P6630s4a1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: d. Viáticos permanentes y/o bonificaciones anuales?;travel_payments_or_boni_last_12_months_amount;;float
;;a. ¿cuánto recibió? $___________;;;
P6630s3a1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: c. Prima de vacaciones?;leave_bonus_last_12_months_amount;;float
;;a. ¿cuánto recibió? $___________;;;
P6630s2a1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: b. Prima de navidad?;christmas_bonus_last_12_months_amount;;float
;;a. ¿cuánto recibió? $___________;;;
P6630s1a1;¿cuánto recibió? (si recibió pero no sabe el monto, escriba 98);22. En los últimos 12 meses recibió: a. Prima de servicios?;service_bonus_last_12_months_amount;;float
;;a. ¿cuánto recibió? $___________;;;
P6630s4;Viáticos permanentes y/o bonificaciones anuales?;22. En los últimos 12 meses recibió:;travel_payments_or_boni_last_12_months;;category
;;d. Viáticos permanentes y/o bonificaciones anuales?;;;
;;1 Sí;;;
;;2 No;;;
P6630s2;Prima de navidad?;22. En los últimos 12 meses recibió:;christmas_bonus_last_12_months;;category
;;b. Prima de navidad?;;;
;;1 Sí;;;
;;2 No;;;
P6630s1;Prima de servicios?;22. En los últimos 12 meses recibió:;service_bonus_last_12_months;;category
;;a. Prima de servicios?;;;
;;1 Sí;;;
;;2 No;;;
P6640;¿la semana pasada trabajó usted horas extras remuneradas?;23. ¿La semana pasada ..... trabajó horas extras remuneradas?;worked_paid_extra_hours_last_week;;category
;;1 Sí;;;
;;2 No;;;
P6765;En la semana pasada, ¿cuál de las siguientes formas de trabajo realizó:;25. En la semana pasada, ¿cuál de las siguientes formas de trabajo realizó:;work_type_last_week;;category
;;a. Trabajó por honorarios o prestación de servicios?;;;
;;b. Trabajó por obra?;;;
;;c. Trabajó por piezas o a destajo? (satélite, maquila, etc);;;
;;d. Trabajó por comisión únicamente?;;;
;;e. Trabajó vendiendo por catálogo?;;;
;;f. Trabajó en su oficio? (plomero, taxista, doméstica por días etc);;;
;;g. Tiene un negocio de industria, comercio, servicios o una finca?;;;
;;h. Otro;;;
P6765s1;¿cuál?;25. En la semana pasada, ¿cuál de las siguientes formas de trabajo realizó:;work_type_last_week_other;;str
;;¿Cuál ? _______________;;;
P6772;¿....ha registrado el negocio ante alguna autoridad o entidad? (cámaras de comercio, alcaldías, rut, registro mercantil);26. ¿ ..... ha registrado el negocio ante alguna autoridad o entidad? (Cámaras de comercio, Alcaldías, RUT, registro mercantil);registed_business;;category
;;1 Sí;;;
;;2 No;;;
P6750;¿cuál fue la ganancia neta o los honorarios netos de ... Esa actividad, negocio, profesión o finca, el mes pasado?;27. ¿Cuál fue la ganancia neta o los honorarios netos de ... en esa actividad, negocio, profesión o finca, el mes pasado ?;net_profits_last_month;;float
;;Honorarios o ganancia neta en el mes pasado;;;
;;Valor $_______________________;;;
P6760;¿a cuántos meses corresponde lo que recibió?;28. ¿ A cuántos meses corresponde lo que recibió?;payment_corresponds_to_months;;float
P550;¿cuál fue la ganancia neta del negocio o de la cosecha durante los últimos 12 meses?;28A. ¿Cuál fue la ganancia neta del negocio o de la cosecha durante los últimos doce meses?;net_profits_last_12_months;;float
;;Honorarios o ganancia neta en los últimos doce meses;;;
;;Valor $_______________________;;;
;;SOLO PARA CENTROS POBLADOS Y ÁREA RURAL DISPERSA;;;
P6780;Este trabajo es:;29. Este trabajo es:;periodicity_of_work;;category
;;a. Ocasional? (De vez en cuando);;;
;;b. Estacional? (En ciertas épocas del año, cosechas, temporadas);;;
;;c. Permanente?;;;
;;d. Otro?,;;;
P6780s1;Otro?, especifique;29. Este trabajo es:;periodicity_of_work_other;;str
;;d. Otro?, especifique ______________;;;
P6790;¿cuántos meses trabajó en los últimos 12 meses?;30. ¿Cuántos meses trabajó en los últimos 12 meses?;months_worked_in_last_12_months;;float
P6410;La empresa que contrato a..... Es:;7A. La empresa que contrato a … es:;type_of_company;;category
;;a. Una empresa de servicios temporales;;;
;;b. Una cooperativa de trabajo asociado;;;
;;c. Una empresa asociativa de trabajo;;;
;;d. Otra;;;
P6640s1;¿cuántas?;23. ¿La semana pasada ..... trabajó horas extras remuneradas?;worked_paid_extra_hours_last_week_amount;;float
;;1 Sí;;;
;;¿cuántas?;;;
P9440;¿su empleo actual lo obtuvo a través de páginas de internet?;13A. ¿Su empleo actual lo obtuvo a través de páginas de internet?;way_to_find_current_job_websites;;category
;;1 Sí;;;
;;2 No;;;
P6630s6;Pagos por accidentes de trabajo;22. En los últimos 12 meses recibió:;payments_for_work_accidents;;category
;;e. Pagos por accidentes de trabajo;;;
;;1 Sí;;;
;;2 No;;;
P6630s6a1;Cuánto recibió;22. En los últimos 12 meses recibió: e. Pagos por accidentes de trabajo;payments_for_work_accidents_amount;;float
;;a. ¿cuánto recibió? $___________;;;
P6410s1;Otra ¿cuál?;7A. La empresa que contrato a … es:;type_of_company_other;;float
;;¿Cuál? __________________;;;
P6545s1;¿cuánto?;21. El mes pasado recibió ...: a. Primas? (técnica, de antigüedad, clima, orden público, otras, etc.);boni_last_month_amount;;float
;;a. ¿cuánto? $____________;;;
P6545;Primas(técnica, de antigüedad, clima, orden público, otras , etc);21. El mes pasado recibió ...:;boni_last_month;;category
;;a. Primas? (técnica, de antigüedad, clima, orden público, otras, etc.);;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P6545s2;¿incluyo esta valor en los ingresos del mes pasado que me declaro anteriormente?;21. El mes pasado recibió ...: a. Primas? (técnica, de antigüedad, clima, orden público, otras, etc.);boni_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6585s4a2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: d. Subsidio Educativo?;subsidy_for_education_included_in_gross_wage;;category
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?;;;
;;1 Sí;;;
;;2 No;;;
P6773s1;Año renovación;26B. ¿Cuál fue el último año en el que renovó este registro?;last_renew_business_register_year;;float
;;Año____;;;
P6775;¿el negocio o actividad de …. Lleva contabilidad (realiza anualmente balance general y estado de perdidas y ganancias), o libro de registro diario de operaciones?;26C. ¿El negocio o actividad de …. lleva contabilidad (realiza anualmente balance general y estado de perdidas y ganancias), o libro de registro diario de operaciones?;business_with_accountancy;;category
;;1 Sí;;;
;;2 No;;;
;;3 No aplica;;;
;;9 No sabe;;;
P6772s1;¿..ha renovado ese registro?;26A. ¿ … ha renovado ese registro?;ever_renew_business_register;;category
;;1 Sí;;;
;;2 No;;;
P388;¿en qué departamento realiza … principalmente este trabajo?;2A.¿En qué departamento realiza … principalmente este trabajo?;works_mainly_in_department_1;;category
;;5 - Antioquia;;;
;;8 - Atlántico;;;
;;11 - Bogotá;;;
;;13 - Bolívar;;;
;;15 - Boyacá;;;
;;17 - Caldas;;;
;;18 - Caquetá;;;
;;19 - Cauca;;;
;;20 - Cesar;;;
;;23 - Córdoba;;;
;;25 - Cundinamarca;;;
;;27 - Chocó;;;
;;41 - Huila;;;
;;44 - Guajira;;;
;;47 - Magdalena;;;
;;50 - Meta;;;
;;52 - Nariño;;;
;;54 - Norte de Santander;;;
;;63 - Quindío;;;
;;66 - Risaralda;;;
;;68 - Santander;;;
;;70 - Sucre;;;
;;73 - Tolima;;;
;;76 - Valle del Cauca;;;
;;81 - Arauca;;;
;;85 - Casanare;;;
;;86 - Putumayo;;;
;;88 - San Andrés;;;
;;99 - Vichada;;;
P6800;¿cuántas horas a la semana trabaja normalmente ... En ese trabajo?;31. ¿Cuántas horas a la semana trabaja normalmente.... en ese trabajo ?;usual_weekly_hours_worked;;float
;;Horas ____;;;
P6810;¿cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;32. ¿Cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;works_less_than_40_hours_per_week_reason;;category
;;a. Es lo único que ha conseguido pero quiere trabajar más horas;;;
;;b. Es la jornada que se ajusta a sus necesidades;;;
;;c. Otra,;;;
P6810s1;¿cuál?;32. ¿Cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;works_less_than_40_hours_per_week_reason_other;;str
;;¿cuál?__________________;;;
