name;label;question;new_name;comment;new_dtype
Directorio;Directorio;Directorio;directorio;What does that mean? Is there a better translation?;int
Secuencia_p;Secuencia_p;SECUENCIA_P;secuencia_p;;int
Orden;Orden;Orden;orden;;int
Hogar;Hogar;Hogar;household;;int
Regis;Registro de la encuesta;Registro de la encuesta;regis;;int
P7480s1;Ayudar a criar animales;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_raise_grow_animals;;category
;;a. Ayudar en labores del campo o en la cría de animales?;;;
;;1 Sí;;;
;;2 No;;;
P7480s3;Realizar oficios en su hogar;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_own_housework;;category
;;b. Realizar oficios en su hogar;;;
;;1 Sí;;;
;;2 No;;;
P7480s4;Realizar oficios del hogar en otros hogares o instituciones;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_others_housework;;category
;;c. Realizar oficios en otros hogares o instituciones?;;;
;;1 Sí;;;
;;2 No;;;
P7480s5;Cuidar o atender niños;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_childcare;;category
;;d. Cuidar o atender niños;;;
;;1 Sí;;;
;;2 No;;;
P7480s6;Cuidar a personas ancianas y/o discapacitadas;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_elderly_or_handicap_care;;category
;;e. Cuidar personas enfermas, ancianas y/o discapacitadas?;;;
;;1 Sí;;;
;;2 No;;;
P7480s7;Elaborar prendas de vestir o tejidos para miembros del hogar;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_cloth_making_for_hh_members;;category
;;f. Elaborar prendas de vestir o tejidos para miembros del hogar?;;;
;;1 Sí;;;
;;2 No;;;
P7480s8;Asistir a cursos o eventos de capacitación;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_training_courses;;category
;;g. Asistir a cursos o eventos de capacitación?;;;
;;1 Sí;;;
;;2 No;;;
P7480s9;Trabajar en la autoconstrucción de vivienda;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_contruction_of_own_dwelling;;category
;;h. Trabajar en la autoconstrucción de vivienda?;;;
;;1 Sí;;;
;;2 No;;;
P7480s10;Realizar trabajos comunitarios o voluntarios en edificaciones u obras comunitarias o públicas;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_voluntary_work_1;;category
;;i. Realizar trabajos comunitarios o voluntarios en edificaciones u obras comunitarias o pùblicas?;;;
;;1 Sí;;;
;;2 No;;;
P7480s11;Participar en otras actividades comunales y/o de trabajo voluntario?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_voluntary_work_2;;category
;;j. Participar en otras actividades civicas, sociales, comunales y/o de trabajo voluntario?;;;
;;1 Sí;;;
;;2 No;;;
P7480s1a1;¿cuántas horas a la semana?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_raise/grow_animals_hours;;float
;;a. Ayudar en labores del campo o en la cría de animales?;;;
;;¿cuántas horas a la semana? ___________;;;
P7480s3a1;¿cuántas horas a la semana?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_own_housework_hours;;float
;;b. Realizar oficios en su hogar;;;
;;¿cuántas horas a la semana? ___________;;;
P7480s4a1;¿cuántas horas a la semana?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_others_housework_hours;;float
;;c. Realizar oficios en otros hogares o instituciones?;;;
;;¿cuántas horas a la semana? ___________;;;
P7480s5a1;¿cuántas horas a la semana?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_childcare_hours;;float
;;d. Cuidar o atender niños;;;
;;¿cuántas horas a la semana? ___________;;;
P7480s6a1;¿cuántas horas a la semana?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_elderly_or_handicap_care_hours;;float
;;e. Cuidar personas enfermas, ancianas y/o discapacitadas?;;;
;;¿cuántas horas a la semana? ___________;;;
P7480s7a1;¿cuántas horas a la semana?;1. Adicional a las actividades que me informó haber realizado la semana pasada, cuales de las siguientes labores no remuneradas hizo:;unpaid_work_last_week_cloth_making_for_hh_members_hours;;float
;;f. Elaborar prendas de vestir o tejidos para miembros del hogar?;;;
;;¿cuántas horas a la semana? ___________;;;
