name;label;question;new_name;comment;new_dtype
Directorio;Directorio;Directorio;directorio;What does that mean? Is there a better translation?;int
Secuencia_p;Secuencia_p;SECUENCIA_P;secuencia_p;;int
Orden;Orden;Orden;orden;;int
Hogar;Hogar;Hogar;household;;int
Regis;Registro de la encuesta;Registro de la encuesta;regis;;int
P7495;El mes pasado, ¿recibió pagos por concepto de arriendos o pensiones?;1. El mes pasado, ¿recibió pagos por concepto de arriendos y/o pensiones?;received_rent_or_pension_last_month;;category
;;1 Sí;;;
;;2 No;;;
P7500s1;El mes pasado recibió ... Pagos por concepto de:;2. ¿El mes pasado, recibió pagos por:;received_rent_last_month;;category
;;a. Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7500s2;Pensiones o jubilaciones por vejez, invalidez o sustitucíón pensional;2. ¿El mes pasado, recibió pagos por:;received_pension_or_disability_annuity_last_month;;category
;;b. Pensiones o jubilaciones por vejez, invalidez o sustitución pensional;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7500s3a1;Valor mes pasado:;2. ¿El mes pasado, recibió pagos por:;received_alimony_last_month_amount;;float
;;c. Pensión alimenticia por paternidad, divorcio o separación;;;
;;Valor mes pasado $ __________________;;;
P7500s2a1;Valor mes pasado:;2. ¿El mes pasado, recibió pagos por:;received_pension_or_disability_annuity_last_month_amount;;float
;;b. Pensiones o jubilaciones por vejez, invalidez o sustitución pensional;;;
;;Valor mes pasado $ __________________;;;
P7500s1a1;Valor mes pasado;2. ¿El mes pasado, recibió pagos por:;received_rent_last_month_amount;;float
;;a. Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc;;;
;;Valor mes pasado $ __________________;;;
P7500s3;Pensión alimenticia por paternidad, divorcio o separa;2. ¿El mes pasado, recibió pagos por:;received_alimony_last_month;;category
;;c. Pensión alimenticia por paternidad, divorcio o separación;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7505;Durante los últimos doce meses recibió;"3. Durante los últimos doce meses, ¿recibió dinero de otros hogares, personas o instituciones no gubernamentales; dinero por intereses, dividendos, utilidades o cesantias?";received_payments_from_others_or_interest_or_dividends_last_12_months;;category
;;1 Sí;;;
;;2 No;;;
P7510s3;Ayudas en dinero de instituciones en el país?;4. Durante los últimos doce meses recibió:;received_payments_from_institutions_last_12_months;;category
;;c. Ayudas en dinero de instituciones del país o de fuera del país?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7510s6;Ingresos por concepto de cesantías y/o intereses a la cesatías;4. Durante los últimos doce meses recibió:;received_unemployment_money_last_12_months;;category
;;e. Ingresos por concepto de cesantías y/o intereses a las cesantías?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7510s2a1;Valor;4. Durante los últimos doce meses recibió:;received_money_from_international_others_last_12_months_amount;;float
;;b. Dinero de otros hogares o personas residentes fuera del país?;;;
;;Valor $ ___________;;;
P7510s6a1;Valor;4. Durante los últimos doce meses recibió:;received_unemployment_money_last_12_months_amount;;float
;;e. Ingresos por concepto de cesantías y/o intereses a las cesantías?;;;
;;Valor $ ___________;;;
P7510s5a1;Valor;4. Durante los últimos doce meses recibió:;received_payments_from_interest_or_dividends_last_12_months_amount;;float
;;d. Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones?;;;
;;Valor $ ___________;;;
P7510s3a1;Valor;4. Durante los últimos doce meses recibió:;received_payments_from_institutions_last_12_months_amount;;float
;;c. Ayudas en dinero de instituciones del país o de fuera del país?;;;
;;Valor $ ___________;;;
P7510s1a1;Valor;4. Durante los últimos doce meses recibió:;received_money_from_national_others_last_12_months_amount;;float
;;a. Dinero de otros hogares a personas residentes en el pais?;;;
;;Valor $ ___________;;;
P7510s5;Durante los últimos doce meses recibió;4. Durante los últimos doce meses recibió:;received_payments_from_interest_or_dividends_last_12_months;;category
;;d. Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7510s1;Dinero de otros hogares o personas residentes en el país?;4. Durante los últimos doce meses recibió:;received_money_from_national_others_last_12_months;;category
;;a. Dinero de otros hogares a personas residentes en el pais?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7510s2;Dinero de otros hogares o personas residentes fuera del país?;4. Durante los últimos doce meses recibió:;received_money_from_international_others_last_12_months;;category
;;b. Dinero de otros hogares o personas residentes fuera del país?;;;
;;1 Sí;;;
;;2 No;;;
;;9 No sabe, no informa;;;
P7510s7a1;Valor;4. Durante los últimos doce meses recibió:;received_money_other_amount;;float
;;f. Dinero de otras fuentes diferentes a las anteriores (ingresos por ganancias en juegos de azar, chances, loterias, indemnizaciones, liquidaciones, venta de propiedades, acciones, vehículos, etc.);;;
;;Valor $ ___________;;;
