name;label;question;new_name;comment;new_dtype
Directorio;Directorio;Directorio;directorio;What does that mean? Is there a better translation?;int
Secuencia_p;Secuencia_p;Secuencia_p;secuencia_p;;int
P5000;Incluyendo sala-comedor ¿de cuántos cuartos en total dispone este hogar?;1. Incluyendo sala-comedor ¿de cuántos cuartos en total dispone este hogar?;number_of_rooms;;float
P5010;¿en cuántos de esos cuartos duermen las personas de este hogar?;2. ¿En cuántos de esos cuartos duermen las personas de este hogar?;number_of_bedrooms;;float
P5020;El servicio sanitario que utiliza el hogar es:;3. El servicio sanitario que utiliza el hogar es:;type_of_toilet;;category
;;a. Inodoro conectado a alcantarillado;;;
;;b. Inodoro conectado a pozo séptico;;;
;;c. Inodoro sin conexión;;;
;;d. Letrina;;;
;;e. Bajamar;;;
;;f. No tiene servicio sanitario;;;
P5030;El servicio sanitario del hogar es:;4. El servicio sanitario del hogar es:;exclusiveness_of_toilet;;category
;;a. De uso exclusivo de las personas del hogar;;;
;;b. Compartido con personas de otros hogares;;;
P5040;¿cómo eliminan principalmente la basura en este hogar?;5. ¿Cómo eliminan principalmente la basura en este hogar?;waste_disposal;;category
;;a. Por recolección pública o privada;;;
;;b. La tiran a un río, quebrada, caño o laguna;;;
;;c. La tiran a un patio, lote, zanja o baldío;;;
;;d. La queman o entierran;;;
;;e. La eliminan de otra forma;;;
P5050;¿de dónde obtiene principalmente este hogar el agua para consumo humano?;6. ¿De dónde obtiene principalmente este hogar el agua para consumo humano?;source_of_drinking_water;;category
;;a. De acueducto por tubería;;;
;;b. De otra fuente por tubería;;;
;;c. De pozo con bomba;;;
;;d. De pozo sin bomba, aljibe, jagüey o barreno;;;
;;e. Aguas lluvias;;;
;;f. Río, quebrada, nacimiento ó manantial;;;
;;g. De pila pública;;;
;;h. Carro tanque;;;
;;i. Aguatero;;;
;;j. Agua embotellada o en bolsa;;;
P5070;¿en cuál de los siguientes lugares, preparan los alimentos las personas de este hogar:;7. ¿En cuál de los siguientes lugares, preparan los alimentos las personas de este hogar:;cooking_place;;category
;;a. En un cuarto usado solo para cocinar?;;;
;;b. En un cuarto usado también para dormir?;;;
;;c. En una sala comedor con lavaplatos?;;;
;;d. En una sala comedor sin lavaplatos?;;;
;;e. En un patio, corredor, enramada, al aire libre?;;;
;;f. En ninguna parte, no preparan alimentos?;;;
P5080;¿con qué energía o combustible cocinan principalmente en este hogar?;8. ¿Con qué energía o combustible cocinan principalmente en este hogar?;cooking_fuel;;category
;;a. Electricidad;;;
;;b. Petróleo, gasolina, kerosene, alcohol;;;
;;c. Gas natural conectado a red pública;;;
;;d. Gas propano en cilindro o pipeta;;;
;;e. Leña, madera o carbón de leña;;;
;;f. Carbón mineral;;;
;;g. Materiales de desecho;;;
P5090;La vivienda ocupada por este hogar es:;9. La vivienda ocupada por este hogar es:;dwelling_ownership;;category
;;a. Propia, totalmente pagada;;;
;;b. Propia, la están pagando;;;
;;c. En arriendo o subarriendo;;;
;;d. En usufructo;;;
;;e. Posesión sin titulo (Ocupante de hecho) ó propiedad colectiva;;;
;;f. Otra;;;
P5090s1;¿cuál?;9. La vivienda ocupada por este hogar es:;dwelling_ownership_other;;str
;;¿cuál?___________________;;;
P5100;¿cuánto pagan mensualmente por cuota de amortización?;9A. ¿Cuánto pagan mensualmente por cuota de amortización?;monthly_amortization_rate;;float
;;Valor $ _________________;;;
P5110;Si usted quisiera vender esta vivienda, ¿cuál sería el precio mínimo en que la vendería?;10. Si Usted quisiera vender esta vivienda, ¿cuál sería el precio mínimo en que la vendería?;minimal_dwelling_price_to_sell;;float
;;Valor $ _________________;;;
P5130;Si tuviera que pagar el arriendo por esta vivienda, ¿cuánto estima que tendria que pagar mensualmente?;11. Si tuviera que pagar arriendo por esta vivienda, ¿cuánto estima que tendría que pagar mensualmente?;est_montly_rent;;float
;;Valor $ _________________;;;
P5140;¿cuánto pagan mensualmente por arriendo?;12. ¿Cuánto pagan mensualmente por arriendo?;monthly_rent;;float
;;Excluya el pago de administración y/o celaduría;;;
;;Valor $ _________________;;;
P5210s1;Servicio de teléfono fijo;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_phone_service;;category
;;a. Servicio de teléfono fijo;;;
;;1 Sí;;;
;;2 No;;;
P5210s10;Calentador de agua eléctrico o de gas o ducha eléctrica;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_water_heater;;category
;;j. Calentador de agua eléctrico o de gas o ducha eléctrica;;;
;;1 Sí;;;
;;2 No;;;
P5210s11;Televisor a color;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_color_tv;;category
;;k. Televisor a color;;;
;;1 Sí;;;
;;2 No;;;
P5210s14;Dvd;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_dvd;;category
;;l. DVD;;;
;;1 Sí;;;
;;2 No;;;
P5210s15;Equipo de sonido;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?;hh_has_sound_system;;category
