Name;Label;Question
DIRECTORIO;Directorio;Directorio
SECUENCIA_P;Secuencia_p;Secuencia_p
ORDEN;Orden;Orden
HOGAR;Hogar;Hogar
REGIS;Registro de la encuesta;Registro de la encuesta
AREA;Area;Area
;;05 Medellín
;;08 Barranquilla
;;11 Bogotá, d.C
;;13 Cartagena
;;17 Manizales
;;23 Montería
;;50 Villavicencio
;;52 Pasto
;;54 Cúcuta
;;66 Pereira
;;68 Bucaramanga
;;73 Ibagué
;;76 Cali
P388;¿en qué departamento realiza … principalmente este trabajo?;2A.¿En qué departamento realiza … principalmente este trabajo?
;;5 - Antioquia
;;8 - Atlántico
;;11 - Bogotá
;;13 - Bolívar
;;15 - Boyacá
;;17 - Caldas
;;18 - Caquetá
;;19 - Cauca
;;20 - Cesar
;;23 - Córdoba
;;25 - Cundinamarca
;;27 - Chocó
;;41 - Huila
;;44 - Guajira
;;47 - Magdalena
;;50 - Meta
;;52 - Nariño
;;54 - Norte de Santander
;;63 - Quindío
;;66 - Risaralda
;;68 - Santander
;;70 - Sucre
;;73 - Tolima
;;76 - Valle del Cauca
;;81 - Arauca
;;85 - Casanare
;;86 - Putumayo
;;88 - San Andrés
;;99 - Vichada
P6440;¿para realizar este trabajo, tiene usted algún tipo de contrato?;4. ¿Para realizar este trabajo tiene ... algún tipo de contrato? (verbal o escrito)
;;1 Sí
;;2 No
P6450;¿el contrato es verbal o escrito?;5. ¿El contrato es verbal o escrito?
;;a. Verbal
;;b. Escrito
;;c. No sabe, no informa
P6460;¿el contrato de trabajo de ... Es a término indefinido o a término fijo?;6. ¿El contrato de trabajo es a término indefinido o a término fijo?
;;a. A término Indefinido
;;b. A término fijo
;;c. No sabe, no informa
;;"Si no sabe el número de meses del contrato, escriba 99; si la duración del contrato es inferior a 15 días, escriba 00; de 15 días un mes, escriba 01; si la duración del contrato es de 98 meses o más escriba 98."
P6460S1;Número de meses;6. ¿El contrato de trabajo es a término indefinido o a término fijo? - b. A término fijo
;;Nro Meses ______________
P6400;La empresa o persona que contrato a ..., ¿es la misma empresa donde trabaja o presta sus servicios?;7. La empresa o persona que contrató a ...., ¿es la misma empresa donde trabaja o presta sus servicios?
;;1 Si
;;2 No
;;9 No sabe, no informa
P6410;La empresa que contrato a..... Es:;7A. La empresa que contrato a … es:
;;a. Una empresa de servicios temporales
;;b. Una cooperativa de trabajo asociado
;;c. Una empresa asociativa de trabajo
;;d. Otra
P6410S1;Otra ¿cuál?;7A. La empresa que contrato a … es:
;;¿Cuál? __________________
P6422;¿esta ..... Conforme con el tipo de contrato que tiene?;9. ¿Esta ..... Conforme con el tipo de contrato que tiene?
;;(De planta, por prestación de servicios, por labor terminada, etc)
;;1 Sí
;;2 No
P6424S1;Vacaciones con sueldo?;10. ¿Por su contrato actual, recibe o tiene derecho a:
;;a. Vacaciones con sueldo?
;;1 Sí
;;2 No
P6424S2;Prima de navidad?;10. ¿Por su contrato actual, recibe o tiene derecho a:
;;b. Prima de navidad?
;;1 Sí
;;2 No
P6424S3;Derecho de cesantia?;10. ¿Por su contrato actual, recibe o tiene derecho a:
;;c. Derecho a cesantía?
;;1 Sí
;;2 No
P6426;¿cuanto tiempo lleva ... Trabajando en esta empresa, negocio, industria, oficina, firma o finca de manera continua?;11. ¿Cuanto tiempo lleva ... trabajando en esta empresa, negocio, industria, oficina, firma o finca de manera continua?
;;si es menos de un mes escriba 000
;;Meses ________
P6430S1;Otra cuál???;12. En este trabajo…..es: - i. Otro,
;;¿cual? ________________
P6480;¿por qué medio principal, ... Consiguió su empleo actual?;13. ¿Por qué medio principal, .... consiguió su empleo actual?
;;a. Pidió ayuda a familiares, amigos, colegas
;;b. Visitó, llevó o envió hojas de vida a empresas o empleadores
;;c. Visitó, llevó o envió hojas de vida a bolsas de empleo o intermediarios
;;d. Puso o consultó avisos clasificados
;;e. Por convocatorias
;;f. Por el sistema de información SENA
;;g. Otro medio
;;h. No sabe, no informa
P6480S1;¿cuál?;13. ¿Por qué medio principal, .... consiguió su empleo actual? - g. Otro medio
;;¿cuál? ___________
P9440;¿su empleo actual lo obtuvo a través de páginas de internet?;13A. ¿Su empleo actual lo obtuvo a través de páginas de internet?
;;1 Sí
;;2 No
P6500;Antes de descuentos ¿cuánto ganó ... El mes pasado en este empleo?;14. Antes de descuentos ¿cuánto ganó .... el mes pasado en este empleo?
;;Valor mensual $_______________________
;;(incluya propinas y comisiones y excluya viáticos y pagos en especie)
P6510;El mes pasado recibió ingresos por concepto de horas extras?;15. El mes pasado recibió ingresos por concepto de horas extras?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6510S1;¿cuánto recibió?;15. El mes pasado recibió ingresos por concepto de horas extras? 1. Sí
;;a. ¿cuánto recibió? $ ___________________
P6510S2;¿incluyó este valor en los ingresos del mes pasado $__ que me declaró anteriormente?;15. El mes pasado recibió ingresos por concepto de horas extras?
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($____ ) que me declaró anteriormente?
;;1 Sí
;;2 No
P6590;Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo?;16. Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6590S1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);16. Además del salario en dinero, ¿el mes pasado recibió alimentos como parte de pago por su trabajo? 1. Sí
;;a. ¿En cuánto estima lo que recibió?
;;$_______________
P6600;Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo?;17. Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6600S1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);17. Además del salario en dinero, ¿el mes pasado recibió vivienda como parte de pago por su trabajo? 1. Sí
;;a. ¿En cuánto estima lo que recibió?
;;$_______________
P6610;¿normalmente ... Utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)?;18. ¿Normalmente... utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6610S1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);18. ¿Normalmente... utiliza transporte de la empresa para desplazarse a su trabajo (bus o automóvil)? 1. Sí
;;a. ¿En cuánto estima lo que recibió?
;;$_______________
P6620;Además del salario en dinero, ¿el mes pasado... Recibió otros ingresos en especie por su trabajo (electrodomésticos, ropa, productos diferentes a alimentos o bonos tipo sodexho)?;19. Además del salario en dinero, ¿el mes pasado... recibió otros ingresos en especie por su trabajo(electrodomésticos, ropa, productos diferentes a alimentos o bonos tipo Sodexho)?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6620S1;¿en cuánto estima lo que recibió el mes pasado? (si recibió pero no sabe estimar el monto, escriba 98);19. Además del salario en dinero, ¿el mes pasado... recibió otros ingresos en especie por su trabajo(electrodomésticos, ropa, productos diferentes a alimentos o bonos tipo Sodexho)? 1. Sí
;;a. ¿En cuánto estima lo que recibió?
;;$_______________
P6585S1;Auxilio o subsidio de alimentación?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:
;;a. Auxilio o subsidio de alimentación?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6585S1A1;¿cuánto? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: a. Auxilio o subsidio de alimentación?
;;a. ¿cuánto? $____________
P6585S1A2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: a. Auxilio o subsidio de alimentación?
;;b. ¿Incluyó este valor en los ingresos del mes pasado ($ ____) que me declaró anteriormente?
;;1 Sí
;;2 No
P6585S2;Auxilio o subsidio de transporte?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado:
;;b. Auxilio o subsidio de transporte?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P6585S2A1;¿cuánto? (si recibió pero no sabe el monto, escriba 98)¿cuánto? (si recibió pero no sabe el monto, escriba 98);20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: b. Auxilio o subsidio de transporte?
;;a. ¿cuánto? $____________
P6585S2A2;¿incluyo este valor en los ingresos del mes pasado que me declaró anteriormente?;20. ¿Cuál o cuáles de los siguientes subsidios recibió ... el mes pasado: b. Auxilio o subsidio de transporte?
