Name;Label;Question
Directorio;Directorio;Directorio
Secuencia_p;Secuencia_p;SECUENCIA_P
Orden;Orden;Orden
Hogar;Hogar;Hogar
Regis;Registro de la encuesta;Registro de la encuesta
P7495;El mes pasado, ¿recibió pagos por concepto de arriendos o pensiones?;1. El mes pasado, ¿recibió pagos por concepto de arriendos y/o pensiones?
;;1 Sí
;;2 No
P7500s1;El mes pasado recibió ... Pagos por concepto de:;2. ¿El mes pasado, recibió pagos por:
;;a. Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7500s1a1;Valor mes pasado;2. ¿El mes pasado, recibió pagos por:
;;a. Arriendos de casas, apartamentos, fincas, lotes, vehículos, equipos etc
;;Valor mes pasado $ __________________
P7500s2;Pensiones o jubilaciones por vejez, invalidez o sustitucíón pensional;2. ¿El mes pasado, recibió pagos por:
;;b. Pensiones o jubilaciones por vejez, invalidez o sustitución pensional
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7500s2a1;Valor mes pasado:;2. ¿El mes pasado, recibió pagos por:
;;b. Pensiones o jubilaciones por vejez, invalidez o sustitución pensional
;;Valor mes pasado $ __________________
P7500s3;Pensión alimenticia por paternidad, divorcio o separa;2. ¿El mes pasado, recibió pagos por:
;;c. Pensión alimenticia por paternidad, divorcio o separación
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7500s3a1;Valor mes pasado:;2. ¿El mes pasado, recibió pagos por:
;;c. Pensión alimenticia por paternidad, divorcio o separación
;;Valor mes pasado $ __________________
P7505;Durante los últimos doce meses recibió;"3. Durante los últimos doce meses, ¿recibió dinero de otros hogares, personas o instituciones no gubernamentales; dinero por intereses, dividendos, utilidades o cesantias?"
;;1 Sí
;;2 No
P7510s1;Dinero de otros hogares o personas residentes en el país?;4. Durante los últimos doce meses recibió:
;;a. Dinero de otros hogares a personas residentes en el pais?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7510s1a1;Valor;4. Durante los últimos doce meses recibió:
;;a. Dinero de otros hogares a personas residentes en el pais?
;;Valor $ ___________
P7510s2;Dinero de otros hogares o personas residentes fuera del país?;4. Durante los últimos doce meses recibió:
;;b. Dinero de otros hogares o personas residentes fuera del país?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7510s2a1;Valor;4. Durante los últimos doce meses recibió:
;;b. Dinero de otros hogares o personas residentes fuera del país?
;;Valor $ ___________
P7510s3;Ayudas en dinero de instituciones en el país?;4. Durante los últimos doce meses recibió:
;;c. Ayudas en dinero de instituciones del país o de fuera del país?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7510s3a1;Valor;4. Durante los últimos doce meses recibió:
;;c. Ayudas en dinero de instituciones del país o de fuera del país?
;;Valor $ ___________
P750s1;Las ayudas en dinero fueron de : entidades privadas nacionales?;4c1.Las ayudas en dinero fueron de :
;;entidades privadas nacionales?
;;1. Si
;;2. No
;;9. No sabe, no informa
P750s1a1;Valor;Valor
P750s2;Las ayudas en dinero fueron de : entidades del gobierno ?;4c1.Las ayudas en dinero fueron de :
;;entidades del gobierno ?
;;1. Si
;;2. No
;;9. No sabe, no informa
P750s2a1;Valor;Valor
P1661;;
p1661s1;Las ayudas en dinero fueron de: Más Familias en Acción;4c1.Las ayudas en dinero fueron de: Más Familias en Acción
p1661s1a1;valor;valor
p1661s2;Las ayudas en dinero fueron de: Jóvenes en Acción;4c1.Las ayudas en dinero fueron de: Jóvenes en Acción
p1661s2a1;valor;valor
p1661s3;Las ayudas en dinero fueron de: Colombia mayor;4c1.Las ayudas en dinero fueron de: Colombia mayor
p1661s3a1;valor;valor
p1661s4;Las ayudas en dinero fueron de: otro cual?;4c1.Las ayudas en dinero fueron de: otro cual?
p1661s4a1;valor;valor
P1661S4A2;;
P750s3;Las ayudas en dinero fueron de : entidades fuera del país ?;4c1.Las ayudas en dinero fueron de :
;;entidades fuera del país ?
;;1. Si
;;2. No
;;9. No sabe, no informa
P750s3a1;Valor;Valor
P750s4;No sabe, no informa;No sabe, no informa
P7510s5;Durante los últimos doce meses recibió;4. Durante los últimos doce meses recibió:
;;d. Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7510s5a1;Valor;4. Durante los últimos doce meses recibió:
;;d. Dinero por intereses de prestamos o por CDT's, depósitos de ahorro, utilidades ganancias o dividendos por inversiones?
;;Valor $ ___________
P7510s6;Ingresos por concepto de cesantías y/o intereses a la cesatías;4. Durante los últimos doce meses recibió:
;;e. Ingresos por concepto de cesantías y/o intereses a las cesantías?
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7510s6a1;Valor;4. Durante los últimos doce meses recibió:
;;e. Ingresos por concepto de cesantías y/o intereses a las cesantías?
;;Valor $ ___________
P7510s7;Durante los últimos doce meses recibió;4. Durante los últimos doce meses recibió:
;;f. Dinero de otras fuentes diferentes a las anteriores (ingresos por ganancias en juegos de azar, chances, loterias, indemnizaciones, liquidaciones, venta de propiedades, acciones, vehículos, etc.)
;;1 Sí
;;2 No
;;9 No sabe, no informa
P7510s7a1;Valor;4. Durante los últimos doce meses recibió:
;;f. Dinero de otras fuentes diferentes a las anteriores (ingresos por ganancias en juegos de azar, chances, loterias, indemnizaciones, liquidaciones, venta de propiedades, acciones, vehículos, etc.)
;;Valor $ ___________
Area;Área;Área
;;05 Medellín
;;08 Barranquilla
;;11 Bogotá, d.C
;;13 Cartagena
;;17 Manizales
;;23 Montería
;;50 Villavicencio
;;52 Pasto
;;54 Cúcuta
;;66 Pereira
;;68 Bucaramanga
;;73 Ibagué
;;76 Cali
Mes;Mes;Mes
Dpto;Departamento;Departamento
;;05 Antioquia
;;08 Atlántico
;;11 Bogotá, d.C.
;;13 Bolívar
;;17 Caldas
;;23 Córdoba
;;50 Meta
;;52 Nariño
;;54 Norte de santander
;;66 Risaralda
;;68 Santander
;;73 Tolima
;;76 Valle del cauca
Fex_c_2011;Factor de expansión;Factor de expansión
