Name;Label;Question
DIRECTORIO;Directorio;Directorio
SECUENCIA_P;Secuencia_p;Secuencia_p
P5000;Incluyendo sala-comedor ¿de cuántos cuartos en total dispone este hogar?;1. Incluyendo sala-comedor ¿de cuántos cuartos en total dispone este hogar?
P5010;¿en cuántos de esos cuartos duermen las personas de este hogar?;2. ¿En cuántos de esos cuartos duermen las personas de este hogar?
P5020;El servicio sanitario que utiliza el hogar es:;3. El servicio sanitario que utiliza el hogar es:
;;a. Inodoro conectado a alcantarillado
;;b. Inodoro conectado a pozo séptico
;;c. Inodoro sin conexión
;;d. Letrina
;;e. Bajamar
;;f. No tiene servicio sanitario
P5030;El servicio sanitario del hogar es:;4. El servicio sanitario del hogar es:
;;a. De uso exclusivo de las personas del hogar
;;b. Compartido con personas de otros hogares
P5040;¿cómo eliminan principalmente la basura en este hogar?;5. ¿Cómo eliminan principalmente la basura en este hogar?
;;a. Por recolección pública o privada
;;b. La tiran a un río, quebrada, caño o laguna
;;c. La tiran a un patio, lote, zanja o baldío
;;d. La queman o entierran
;;e. La eliminan de otra forma
P5050;¿de dónde obtiene principalmente este hogar el agua para consumo humano?;6. ¿De dónde obtiene principalmente este hogar el agua para consumo humano?
;;a. De acueducto por tubería
;;b. De otra fuente por tubería
;;c. De pozo con bomba
;;d. De pozo sin bomba, aljibe, jagüey o barreno
;;e. Aguas lluvias
;;f. Río, quebrada, nacimiento ó manantial
;;g. De pila pública
;;h. Carro tanque
;;i. Aguatero
;;j. Agua embotellada o en bolsa
P5070;¿en cuál de los siguientes lugares, preparan los alimentos las personas de este hogar:;7. ¿En cuál de los siguientes lugares, preparan los alimentos las personas de este hogar:
;;a. En un cuarto usado solo para cocinar?
;;b. En un cuarto usado también para dormir?
;;c. En una sala comedor con lavaplatos?
;;d. En una sala comedor sin lavaplatos?
;;e. En un patio, corredor, enramada, al aire libre?
;;f. En ninguna parte, no preparan alimentos?
P5080;¿con qué energía o combustible cocinan principalmente en este hogar?;8. ¿Con qué energía o combustible cocinan principalmente en este hogar?
;;a. Electricidad
;;b. Petróleo, gasolina, kerosene, alcohol
;;c. Gas natural conectado a red pública
;;d. Gas propano en cilindro o pipeta
;;e. Leña, madera o carbón de leña
;;f. Carbón mineral
;;g. Materiales de desecho
P5090;La vivienda ocupada por este hogar es:;9. La vivienda ocupada por este hogar es:
;;a. Propia, totalmente pagada
;;b. Propia, la están pagando
;;c. En arriendo o subarriendo
;;d. En usufructo
;;e. Posesión sin titulo (Ocupante de hecho) ó propiedad colectiva
;;f. Otra
P5090S1;¿cuál?;9. La vivienda ocupada por este hogar es:
;;¿cuál?___________________
P5100;¿cuánto pagan mensualmente por cuota de amortización?;9A. ¿Cuánto pagan mensualmente por cuota de amortización?
;;Valor $ _________________
P5110;Si usted quisiera vender esta vivienda, ¿cuál sería el precio mínimo en que la vendería?;10. Si Usted quisiera vender esta vivienda, ¿cuál sería el precio mínimo en que la vendería?
;;Valor $ _________________
P5130;Si tuviera que pagar el arriendo por esta vivienda, ¿cuánto estima que tendria que pagar mensualmente?;11. Si tuviera que pagar arriendo por esta vivienda, ¿cuánto estima que tendría que pagar mensualmente?
;;Valor $ _________________
P5140;¿cuánto pagan mensualmente por arriendo?;12. ¿Cuánto pagan mensualmente por arriendo?
;;Excluya el pago de administración y/o celaduría
;;Valor $ _________________
P5210S1;Servicio de teléfono fijo;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;a. Servicio de teléfono fijo
;;1 Sí
;;2 No
P5210S2;Servicio de televisión por subscripción cable o antena parabólica;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;b. Servicio de televisión por suscripción cable o antena parabólica
;;1 Sí
;;2 No
P5210S3;Servicio de internet;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;c. Servicio de Internet
;;1 Sí
;;2 No
P5210S4;Máquina lavadora de ropa;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;d. Máquina lavadora de ropa
;;1 Sí
;;2 No
P5210S5;Nevera o refrigerador;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;e. Nevera o refrigerador
;;1 Sí
;;2 No
P5210S6;Licuadora;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;f. Licuadora
;;1 Sí
;;2 No
P5210S7;Estufa eléctrica o de gas;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;g. Estufa eléctrica o de gas
;;1 Sí
;;2 No
P5210S8;Horno eléctrico o de gas;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;h. Horno eléctrico o de gas
;;1 Sí
;;2 No
P5210S9;Horno microondas;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;i. Horno microondas
;;1 Sí
;;2 No
P5210S10;Calentador de agua eléctrico o de gas o ducha eléctrica;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;j. Calentador de agua eléctrico o de gas o ducha eléctrica
;;1 Sí
;;2 No
P5210S11;Televisor a color;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;k. Televisor a color
;;1 Sí
;;2 No
P5210S14;Dvd;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;l. DVD
;;1 Sí
;;2 No
P5210S15;Equipo de sonido;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;m. Equipo de sonido
;;1 Sí
;;2 No
P5210S16;Computador (para uso del hogar);13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;n. Computador para uso del hogar
;;1 Sí
;;2 No
P5210S17;Aspiradora / brilladora;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;o. Aspiradora / brilladora
;;1 Sí
;;2 No
P5210S18;Aire acondicionado;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;p. Aire acondicionado
;;1 Sí
;;2 No
P5210S19;Ventilador o abanico;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;q. Ventilador o abanico
;;1 Sí
;;2 No
P5210S20;Bicicleta;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;r. Bicicleta
;;1 Sí
;;2 No
P5210S21;Motocicleta;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;s. Motocicleta
;;1 Sí
;;2 No
P5210S22;Carro particular;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;t. Carro particular
;;1 Sí
;;2 No
P5210S24;Casa, apartamento o finca de recreo;13. ¿Cuáles de los siguientes servicios o bienes en uso, posee este hogar?
;;u. Casa, apartamento o finca de recreo
;;1 Sí
;;2 No
P5220;¿en este hogar algún o algunos de sus miembro(s) tiene teléfono celular?;14. ¿ En este hogar algún o algunos de sus miembros tiene teléfono celular propio?
;;1 Sí
;;2 No
P5220S1;¿cuántas personas?;14. ¿Cuántas personas?
P6008;Total de personas en el hogar:;3. Total de personas en el hogar
P6007;¿alguna persona que consideren jefe del hogar está ausente temporalmente por razones de trabajo o estudio?;4. ¿Alguna persona que consideren jefe del hogar reside la mayor parte del tiempo en otro sitio por razones de trabajo o estudio?
;;1 Sí
;;2 No
P6007S1;Parentesco con el jefe actual;4. Parentesco con el Jefe Actual
;;1 Cónyuge
;;2 Hijo e Hija
;;3 Padre o Madre
;;4 Otro pariente
;;5 Otro no pariente
HOGAR;Hogar;Hogar
P4000;Tipo de vivienda;1. Tipo de vivienda
;;a. Casa
;;b. Apartamento
;;c. Cuarto (s) en inquilinato
;;d. Cuarto (s) en otro tipo de estructura
;;e. Vivienda indígena
;;f. Otra vivienda (carpa, vagón, embarcación, cueva, refugio natural, etc.)
P4010;¿cuál es el material predominante de las paredes exteriores de la vivienda?;2. ¿Cuál es el material predominante de las paredes exteriores de la vivienda?
;;a. Ladrillo, bloque, material prefabricado, piedra
;;b. Madera pulida
;;c. Adobe o tapia pisada
;;d. Bahareque
;;e. Madera burda, tabla, tablón
;;f. Guadua
;;g. Caña, esterilla, otro tipo de material vegetal
;;h. Zinc, tela, cartón, latas, desechos, plástico
;;i. Sin paredes
P4020;¿cuál es el material predominante de los pisos de la vivienda?;3. ¿Cuál es el material predominante de los pisos de la vivienda?
;;a. Tierra, arena
;;b. Cemento, gravilla
;;c. Madera burda, tabla, tablón, otro vegetal
;;d. Baldosín, ladrillo, vinisol, otros materiales sintéticos
;;e. Mármol
;;f. Madera pulida
;;g. Alfombra o tapete de pared a pared
